datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2009:194:19:39:26.327 2009:194:19:39:41.271 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      140.34 317.61 10.13  142.93 0.87  -0.37 -0.04 0.33 clocking,power_cmd                              
2009:194:19:39:41.271 2009:194:19:44:24.963 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      141.14 315.63 11.13  146.69 0.87  -0.39 -0.02 0.30 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:19:44:24.963 2009:194:19:49:08.656 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      143.02 308.29 13.55  160.08 0.87  -0.44 0.03  0.21 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:19:49:08.656 2009:194:19:53:52.349 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      145.73 296.65 13.88  180.59 0.85  -0.52 0.11  0.06 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:19:53:52.349 2009:194:19:58:36.041 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      148.75 285.56 10.19  200.87 -0.79 0.58  -0.18 0.09 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:19:58:36.041 2009:194:20:03:19.734 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      151.68 276.53 3.06   219.88 -0.71 0.62  -0.25 0.24 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:20:03:19.734 2009:194:20:08:03.427 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      154.03 270.25 -6.53  237.65 -0.60 0.64  -0.30 0.38 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:20:08:03.427 2009:194:20:12:47.119 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      155.30 267.11 -17.41 254.73 -0.47 0.63  -0.35 0.50 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:20:12:47.119 2009:194:20:17:30.812 10928 XTZ0000005 TE_004F2 NMAN      1         1        6         6         75624  -468      155.63 266.91 -24.98 266.48 -0.38 0.62  -0.38 0.57 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:20:17:30.812 2009:195:06:16:06.988 10928 XTZ0000005 TE_004F2 NPNT      1         1        6         6         75624  -468      155.66 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:195:06:16:06.988 2009:195:06:17:53.673 10928 AA00000000 TE_004F2 NMAN      1         0        6         6         -99616 -468      155.66 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 clocking,pcad_mode,power_cmd,simpos             
2009:195:06:17:53.673 2009:195:06:19:06.988 10928 AA00000000 TE_004F2 NMAN      1         0        6         6         -99616 -468      155.26 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:195:06:19:06.988 2009:195:06:21:43.422 56960 AA00000000 TE_004F2 NMAN      1         0        6         6         -99616 -468      155.26 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 obsid                                           
2009:195:06:21:43.422 2009:195:06:21:47.422 56960 AA00000000 TE_004F2 NMAN      1         0        6         6         -99616 -468      155.26 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 clocking,power_cmd                              
2009:195:06:21:47.422 2009:195:06:21:51.422 56960 AA00000000 TE_004F2 NMAN      1         0        6         6         -99616 -468      155.26 267.18 -27.15 269.99 -0.35 0.61  -0.38 0.59 clocking,power_cmd                              
