ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2010:277:10:55:36.099 2010:277:11:00:17.657 27.00  None   6         RETR RETR 55994 NMAN      155.45 WSVIDALLDN 0.94  0.12  0.26  0.17 20.30  154.89 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:11:00:17.657 2010:277:11:04:59.214 27.61  None   6         RETR RETR 55994 NMAN      155.51 WSVIDALLDN 0.95  0.11  0.26  0.13 18.58  159.30 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:11:04:59.214 2010:277:11:09:40.772 28.77  None   6         RETR RETR 55994 NMAN      155.60 WSVIDALLDN 0.96  0.09  0.25  0.02 12.27  174.79 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:11:09:40.772 2010:277:11:14:22.329 28.39  None   6         RETR RETR 55994 NMAN      155.66 WSVIDALLDN -0.96 -0.07 -0.24 0.10 5.81   190.39 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:277:11:14:22.329 2010:277:15:09:20.840 28.00  None   6         RETR RETR 55994 NPNT      155.67 WSVIDALLDN -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_0021C -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2010:277:15:09:20.840 2010:277:15:09:24.840 28.00  None   6         RETR RETR 55993 NPNT      155.67 AA00000000 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_0021C -991      -99616 clocking,obsid,power_cmd                         0        
6         0        2010:277:15:09:24.840 2010:277:15:09:28.840 28.00  None   6         RETR RETR 55993 NPNT      155.67 AA00000000 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_0021C -991      -99616 clocking,power_cmd                               0        
0         0        2010:277:15:09:28.840 2010:277:15:09:52.840 28.00  None   0         RETR RETR 55993 NPNT      155.67 WSPOW00000 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_0021C -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2010:277:15:09:52.840 2010:277:15:10:55.840 28.00  None   6         RETR RETR 55993 NPNT      155.67 WSPOW0AF3F -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_0021C -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2010:277:15:10:55.840 2010:277:15:10:59.840 28.00  None   6         RETR RETR 55993 NPNT      155.67 WSPOW0AF3F -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_008EA -991      -99616 si_mode                                          1        
6         1        2010:277:15:10:59.840 2010:277:16:13:12.575 28.00  None   6         RETR RETR 55993 NPNT      155.67 XTZ0000005 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_008EA -991      -99616 clocking,power_cmd                               1        
6         1        2010:277:16:13:12.575 2010:277:16:13:22.826 28.00  None   6         RETR RETR 55993 NMAN      155.67 XTZ0000005 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_008EA -991      -99616 pcad_mode                                        1        
6         1        2010:277:16:13:22.826 2010:277:16:18:04.432 28.00  None   6         RETR RETR 55993 NMAN      153.72 XTZ0000005 -0.96 -0.06 -0.24 0.13 4.00   194.87 TE_008EA -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:16:18:04.432 2010:277:16:22:46.039 31.80  None   6         RETR RETR 55993 NMAN      144.86 XTZ0000005 -0.95 -0.06 -0.27 0.14 2.72   195.85 TE_008EA -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:16:22:46.039 2010:277:16:27:27.645 44.81  None   6         RETR RETR 55993 NMAN      127.62 XTZ0000005 -0.91 -0.04 -0.38 0.16 356.97 200.63 TE_008EA -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:277:16:27:27.645 2010:277:16:29:40.840 63.03  None   6         RETR RETR 55993 NMAN      106.89 XTZ0000005 -0.83 -0.02 -0.54 0.18 339.58 216.71 TE_008EA -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:277:16:29:40.840 2010:277:16:32:09.252 63.03  None   6         RETR RETR 55993 NMAN      106.89 AA00000000 -0.83 -0.02 -0.54 0.18 339.58 216.71 TE_008EA -991      -99616 clocking,power_cmd                               1        
6         0        2010:277:16:32:09.252 2010:277:16:32:40.840 73.55  None   6         RETR RETR 55993 NMAN      89.68  AA00000000 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:277:16:32:40.840 2010:277:16:32:41.840 73.55  None   6         RETR RETR 55993 NMAN      89.68  AA00000000 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      90920  simpos                                           1        
6         0        2010:277:16:32:41.840 2010:277:16:32:45.840 73.55  None   6         RETR RETR 55993 NMAN      89.68  AA00000000 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      90920  clocking,power_cmd                               1        
6         0        2010:277:16:32:45.840 2010:277:16:32:49.840 73.55  None   6         RETR RETR 55993 NMAN      89.68  AA00000000 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      90920  clocking,power_cmd                               1        
0         0        2010:277:16:32:49.840 2010:277:16:33:13.840 73.55  None   0         RETR RETR 55993 NMAN      89.68  WSPOW00000 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      90920  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2010:277:16:33:13.840 2010:277:16:34:16.840 73.55  None   5         RETR RETR 55993 NMAN      89.68  WSPOW04F3E -0.71 0.01  -0.67 0.19 288.34 266.74 TE_008EA -991      90920  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2010:277:16:34:16.840 2010:277:16:34:20.840 73.55  None   5         RETR RETR 55993 NMAN      89.68  WSPOW04F3E -0.71 0.01  -0.67 0.19 288.34 266.74 TE_00458 -991      90920  si_mode                                          1        
5         1        2010:277:16:34:20.840 2010:277:16:35:40.840 73.55  None   5         RETR RETR 55993 NMAN      89.68  XTZ0000005 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_00458 -991      90920  clocking,power_cmd                               1        
5         1        2010:277:16:35:40.840 2010:277:16:36:50.858 73.55  None   5         RETR RETR 12246 NMAN      89.68  XTZ0000005 -0.71 0.01  -0.67 0.19 288.34 266.74 TE_00458 -991      90920  obsid                                            1        
5         1        2010:277:16:36:50.858 2010:277:16:38:38.314 69.00  None   5         RETR RETR 12246 NMAN      80.85  XTZ0000005 -0.62 0.02  -0.76 0.20 246.78 307.50 TE_00458 -991      90920  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         1        2010:277:16:38:38.314 2010:277:16:40:04.814 69.00  None   5         RETR RETR 12246 NMAN      80.85  XTZ0000005 -0.62 0.02  -0.76 0.20 246.78 307.50 TE_00458 -486      90920  simfa_pos                                        1        
5         1        2010:277:16:40:04.814 2010:277:16:41:32.465 69.00  None   5         RETR RETR 12246 NMAN      80.85  XTZ0000005 -0.62 0.02  -0.76 0.20 246.78 307.50 TE_00458 -536      90920  simfa_pos                                        1        
5         1        2010:277:16:41:32.465 2010:278:06:17:04.840 66.33  None   5         RETR RETR 12246 NPNT      78.88  XTZ0000005 -0.60 0.03  -0.78 0.20 239.05 314.99 TE_00458 -536      90920  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
5         0        2010:278:06:17:04.840 2010:278:06:17:15.091 66.33  None   5         RETR RETR 12246 NMAN      78.88  AA00000000 -0.60 0.03  -0.78 0.20 239.05 314.99 TE_00458 -536      89800  clocking,pcad_mode,power_cmd,simpos              1        
5         0        2010:278:06:17:15.091 2010:278:06:20:04.840 66.33  None   5         RETR RETR 12246 NMAN      77.62  AA00000000 -0.60 0.03  -0.78 0.20 239.05 314.99 TE_00458 -536      89800  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2010:278:06:20:04.840 2010:278:06:22:33.661 66.33  None   5         RETR RETR 12308 NMAN      77.62  AA00000000 -0.60 0.03  -0.78 0.20 239.05 314.99 TE_00458 -536      89800  obsid                                            1        
5         0        2010:278:06:22:33.661 2010:278:06:27:52.232 61.59  None   5         RETR RETR 12308 NMAN      72.48  AA00000000 -0.58 0.07  -0.78 0.21 240.31 311.75 TE_00458 -536      89800  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
