datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2003:301:02:44:58.961 2003:301:02:49:44.869 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.90 12.83  36.42  221.10 -0.87 -0.21 -0.25 0.36 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:02:49:44.869 2003:301:13:02:05.025 60497 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2003:301:13:02:05.025 2003:301:13:03:10.685 60497 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 simpos                                          
2003:301:13:03:10.685 2003:301:13:03:11.710 60497 AA00000000 TE_00452 NPNT      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 clocking,power_cmd                              
2003:301:13:03:11.710 2003:301:13:03:21.960 60497 AA00000000 TE_00452 NPNT      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 clocking,power_cmd                              
2003:301:13:03:21.960 2003:303:09:00:00.000 60497 WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:303:09:00:00.000 2003:303:09:00:10.251 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.90 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 pcad_mode                                       
2003:303:09:00:10.251 2003:303:09:03:00.000 60497 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.11 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:303:09:03:00.000 2003:303:09:05:04.139 60496 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      150.11 11.00  35.00  225.73 -0.86 -0.20 -0.24 0.40 obsid                                           
2003:303:09:05:04.139 2003:303:09:09:58.027 60496 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      149.91 9.32   33.33  230.46 -0.85 -0.19 -0.23 0.43 dec,pitch,q1,q2,q3,q4,ra,roll                   
