datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:131:20:35:08.632 2010:131:20:39:53.619 56268 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      153.78 254.90 -28.68 71.79  0.50  -0.33 -0.71 0.36 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:20:39:53.619 2010:131:20:42:39.357 56268 XTZ0000005 TE_0021C NMAN      1         1        6         6         -99616 -536      154.03 251.70 -34.11 57.33  0.48  -0.22 -0.76 0.38 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:20:42:39.357 2010:131:20:44:38.605 56268 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      154.03 251.70 -34.11 57.33  0.48  -0.22 -0.76 0.38 clocking,power_cmd                              
2010:131:20:44:38.605 2010:131:20:45:39.357 56268 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      154.37 243.52 -40.42 33.25  0.42  -0.05 -0.82 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:20:45:39.357 2010:131:20:45:48.357 56268 AA00000000 TE_0021C NMAN      1         0        6         6         -99616 -536      154.37 243.52 -40.42 33.25  0.42  -0.05 -0.82 0.39 clocking,power_cmd                              
2010:131:20:45:48.357 2010:131:20:49:23.592 56268 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      154.37 243.52 -40.42 33.25  0.42  -0.05 -0.82 0.39 power_cmd,vid_board                             
2010:131:20:49:23.592 2010:131:20:54:08.578 56268 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      154.73 231.84 -43.32 6.10   0.35  0.12  -0.84 0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:20:54:08.578 2010:131:20:58:53.564 56268 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      155.06 219.54 -41.88 338.43 0.27  0.28  -0.84 0.37 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:20:58:53.564 2010:131:21:03:38.551 56268 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      155.29 210.01 -36.62 313.27 0.18  0.44  -0.81 0.35 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:21:03:38.551 2010:131:21:08:23.537 56268 WSVIDALLDN TE_0021C NMAN      0         0        6         6         -99616 -536      155.38 205.86 -31.60 298.15 0.12  0.53  -0.77 0.32 dec,pitch,q1,q2,q3,q4,ra,roll                   
