datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos hetg letg pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2008:042:13:07:23.820 2008:042:13:07:27.820 8037  AA00000000 TE_0046E NMAN      1         0        5         5         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 clocking,obsid,power_cmd                        
2008:042:13:07:27.820 2008:042:13:07:31.820 8037  AA00000000 TE_0046E NMAN      1         0        5         5         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 clocking,power_cmd                              
2008:042:13:07:31.820 2008:042:13:07:55.820 8037  WSPOW00000 TE_0046E NMAN      1         0        0         0         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:13:07:55.820 2008:042:13:08:58.820 8037  WSPOW1EC3F TE_0046E NMAN      1         0        6         6         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:13:08:58.820 2008:042:13:09:02.820 8037  WSPOW1EC3F TE_002A2 NMAN      1         0        6         6         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 si_mode                                         
2008:042:13:09:02.820 2008:042:13:10:01.786 8037  XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      RETR RETR 137.20 155.96 -27.27 17.04  -0.20 0.19  0.93  0.23 clocking,power_cmd                              
2008:042:13:10:01.786 2008:042:13:15:29.500 8037  XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      RETR RETR 137.42 159.90 -25.94 22.89  -0.18 0.23  0.93  0.21 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:13:15:29.500 2008:042:13:20:57.215 8037  XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      RETR RETR 137.79 171.46 -18.99 41.26  -0.13 0.36  0.92  0.13 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:13:20:57.215 2008:042:13:26:24.929 8037  XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      RETR RETR 138.11 181.81 -5.84  61.72  -0.05 0.51  0.86  0.01 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:13:26:24.929 2008:042:13:31:52.644 8037  XTZ0000005 TE_002A2 NMAN      1         1        6         6         75624  -468      RETR RETR 138.26 186.26 6.10   75.63  -0.01 -0.61 -0.79 0.08 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:13:31:52.644 2008:042:15:02:52.394 8037  XTZ0000005 TE_002A2 NPNT      1         1        6         6         75624  -468      RETR RETR 138.29 187.02 9.78   79.62  -0.03 -0.64 -0.76 0.10 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:15:02:52.394 2008:042:15:03:02.645 8037  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      RETR RETR 138.29 187.02 9.78   79.62  -0.03 -0.64 -0.76 0.10 clocking,pcad_mode,power_cmd                    
2008:042:15:03:02.645 2008:042:15:05:52.394 8037  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      RETR RETR 137.39 187.02 9.78   79.62  -0.03 -0.64 -0.76 0.10 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:15:05:52.394 2008:042:15:08:45.050 8044  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      RETR RETR 137.39 187.02 9.78   79.62  -0.03 -0.64 -0.76 0.10 obsid                                           
2008:042:15:08:45.050 2008:042:15:13:04.798 8044  AA00000000 TE_002A2 NPNT      1         0        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:15:13:04.798 2008:042:15:13:22.798 8044  WSVIDALLDN TE_002A2 NPNT      0         0        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 power_cmd,vid_board                             
2008:042:15:13:22.798 2008:042:15:14:52.798 8044  WSPOW1EC3F TE_002A2 NPNT      1         0        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:15:14:52.798 2008:042:15:14:56.798 8044  WSPOW1EC3F TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 si_mode                                         
2008:042:15:14:56.798 2008:042:16:39:44.798 8044  XTZ0000005 TE_002A3 NPNT      1         1        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 clocking,power_cmd                              
2008:042:16:39:44.798 2008:042:16:39:55.049 8044  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 136.43 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 clocking,pcad_mode,power_cmd                    
2008:042:16:39:55.049 2008:042:16:42:44.798 8044  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 137.98 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:16:42:44.798 2008:042:16:46:23.935 8040  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 137.98 189.11 10.36  80.30  -0.02 -0.65 -0.75 0.12 obsid                                           
2008:042:16:46:23.935 2008:042:16:50:43.684 8040  AA00000000 TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 139.48 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:16:50:43.684 2008:042:16:51:01.684 8040  WSVIDALLDN TE_002A3 NPNT      0         0        6         6         75624  -468      RETR RETR 139.48 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 power_cmd,vid_board                             
2008:042:16:51:01.684 2008:042:16:52:31.684 8040  WSPOW1EC3F TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 139.48 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:16:52:31.684 2008:042:18:17:23.684 8040  XTZ0000005 TE_002A3 NPNT      1         1        6         6         75624  -468      RETR RETR 139.48 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 clocking,power_cmd                              
2008:042:18:17:23.684 2008:042:18:17:33.935 8040  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 139.48 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 clocking,pcad_mode,power_cmd                    
2008:042:18:17:33.935 2008:042:18:20:23.684 8040  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 138.93 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:18:20:23.684 2008:042:18:22:37.297 8047  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 138.93 186.24 11.68  81.85  -0.04 -0.65 -0.75 0.11 obsid                                           
2008:042:18:22:37.297 2008:042:18:26:57.047 8047  AA00000000 TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 138.32 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:18:26:57.047 2008:042:18:27:15.047 8047  WSVIDALLDN TE_002A3 NPNT      0         0        6         6         75624  -468      RETR RETR 138.32 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 power_cmd,vid_board                             
2008:042:18:27:15.047 2008:042:18:28:45.047 8047  WSPOW1EC3F TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 138.32 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:18:28:45.047 2008:042:19:53:37.047 8047  XTZ0000005 TE_002A3 NPNT      1         1        6         6         75624  -468      RETR RETR 138.32 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 clocking,power_cmd                              
2008:042:19:53:37.047 2008:042:19:53:47.298 8047  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 138.32 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 clocking,pcad_mode,power_cmd                    
2008:042:19:53:47.298 2008:042:19:56:37.047 8047  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 138.75 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:19:56:37.047 2008:042:19:58:17.571 8042  AA00000000 TE_002A3 NMAN      1         0        6         6         75624  -468      RETR RETR 138.75 187.58 12.31  82.52  -0.04 -0.66 -0.74 0.12 obsid                                           
2008:042:19:58:17.571 2008:042:20:02:37.319 8042  AA00000000 TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 139.11 186.93 13.06  83.47  -0.04 -0.67 -0.74 0.12 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:20:02:37.319 2008:042:20:02:55.319 8042  WSVIDALLDN TE_002A3 NPNT      0         0        6         6         75624  -468      RETR RETR 139.11 186.93 13.06  83.47  -0.04 -0.67 -0.74 0.12 power_cmd,vid_board                             
2008:042:20:02:55.319 2008:042:20:04:25.319 8042  WSPOW1EC3F TE_002A3 NPNT      1         0        6         6         75624  -468      RETR RETR 139.11 186.93 13.06  83.47  -0.04 -0.67 -0.74 0.12 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:20:04:25.319 2008:042:21:29:17.319 8042  XTZ0000005 TE_002A3 NPNT      1         1        6         6         75624  -468      RETR RETR 139.11 186.93 13.06  83.47  -0.04 -0.67 -0.74 0.12 clocking,power_cmd                              
