ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         1        2009:152:02:18:53.816 2009:152:05:05:33.816 -16.19 None   6         INSR RETR 9948  NPNT      154.79 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:05:05:33.816 2009:152:07:52:13.816 -16.19 None   6         INSR RETR 9948  NPNT      154.90 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:07:52:13.816 2009:152:10:38:53.816 -16.19 None   6         INSR RETR 9948  NPNT      155.00 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:10:38:53.816 2009:152:13:25:33.816 -16.19 None   6         INSR RETR 9948  NPNT      155.11 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:13:25:33.816 2009:152:16:12:13.816 -16.19 None   6         INSR RETR 9948  NPNT      155.21 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:16:12:13.816 2009:152:18:58:53.816 -16.19 None   6         INSR RETR 9948  NPNT      155.32 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:18:58:53.816 2009:152:21:45:33.816 -16.19 None   6         INSR RETR 9948  NPNT      155.43 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         1        2009:152:21:45:33.816 2009:153:00:13:46.148 -16.19 None   6         INSR RETR 9948  NPNT      155.53 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      75624  pitch                                            1        
6         0        2009:153:00:13:46.148 2009:153:00:15:32.833 -16.19 None   6         INSR RETR 9948  NMAN      155.53 AA00000000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 clocking,pcad_mode,power_cmd,simpos              1        
6         0        2009:153:00:15:32.833 2009:153:00:16:46.148 -16.19 None   6         INSR RETR 9948  NMAN      155.63 AA00000000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:153:00:16:46.148 2009:153:00:19:22.582 -16.19 None   6         INSR RETR 57078 NMAN      155.63 AA00000000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 obsid                                            1        
6         0        2009:153:00:19:22.582 2009:153:00:19:26.582 -16.19 None   6         INSR RETR 57078 NMAN      155.63 AA00000000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 clocking,power_cmd                               1        
6         0        2009:153:00:19:26.582 2009:153:00:19:30.582 -16.19 None   6         INSR RETR 57078 NMAN      155.63 AA00000000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 clocking,power_cmd                               1        
0         0        2009:153:00:19:30.582 2009:153:00:19:32.833 -16.19 None   0         INSR RETR 57078 NMAN      155.63 WSPOW00000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2009:153:00:19:32.833 2009:153:00:19:54.582 -16.19 None   0         INSR RETR 57078 NPNT      155.63 WSPOW00000 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2009:153:00:19:54.582 2009:153:00:20:57.582 -16.19 None   6         INSR RETR 57078 NPNT      155.63 WSPOW0CF3F 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00872 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:153:00:20:57.582 2009:153:00:21:01.582 -16.19 None   6         INSR RETR 57078 NPNT      155.63 WSPOW0CF3F 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00216 -468      -99616 si_mode                                          1        
6         1        2009:153:00:21:01.582 2009:153:00:23:52.582 -16.19 None   6         INSR RETR 57078 NPNT      155.63 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00216 -468      -99616 clocking,power_cmd                               1        
6         1        2009:153:00:23:52.582 2009:153:00:24:02.833 -16.19 None   6         INSR RETR 57077 NMAN      155.63 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00216 -468      -99616 obsid,pcad_mode                                  1        
6         1        2009:153:00:24:02.833 2009:153:00:28:44.560 -16.19 None   6         INSR RETR 57077 NMAN      153.66 XTZ0000005 0.67  -0.52 -0.44 0.30 275.14 117.01 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:153:00:28:44.560 2009:153:00:33:26.287 -14.81 None   6         INSR RETR 57077 NMAN      144.80 XTZ0000005 0.69  -0.50 -0.42 0.32 278.99 117.63 TE_00216 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
